,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Total,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init Fwd Win Bytes,Label
1641306,935,349.0,935,187.0,418.1447,349,174.5,246.78027,1139.0,935,160.5,335.93027,112849.14,183.42857,187.0,174.5,935,349,65535,0
3026872,675,31414.0,314,32.142857,81.05016,1460,897.54285,702.28455,115888755.0,1460,562.9649,695.03894,483079.1,573.0179,32.142857,897.54285,675,31414,8192,0
1604070,935,268.0,935,187.0,418.1447,268,134.0,189.50462,1135.0,935,150.375,330.61584,109306.836,171.85715,187.0,134.0,935,268,65535,0
2484093,935,348.0,935,187.0,418.1447,348,116.0,200.9179,4199349.0,935,142.55556,318.67505,101553.78,160.375,187.0,116.0,935,348,237,0
1343276,303,145.0,221,50.5,86.14117,145,36.25,72.5,5952269.0,221,40.727272,74.28471,5518.2183,44.8,50.5,36.25,303,145,8192,0
962794,875,1412.0,432,48.61111,139.47893,706,88.25,241.14491,118075727.0,706,65.34286,189.48009,35902.703,67.26471,48.61111,88.25,875,1412,8192,0
2889563,1148,1581.0,677,104.36364,202.29448,1173,225.85715,430.0986,4126337.0,1173,143.63158,298.52026,89114.36,151.61111,104.36364,225.85715,1148,1581,8192,0
761536,1148,1581.0,677,127.55556,218.69106,1173,225.85715,430.0986,3061409.0,1173,160.52942,312.0441,97371.516,170.5625,127.55556,225.85715,1148,1581,8192,0
874932,40,56.0,40,40.0,0.0,56,56.0,0.0,0.0,56,45.333332,9.237604,85.333336,68.0,40.0,56.0,40,56,-1,0
1650580,935,316.0,935,187.0,418.1447,316,158.0,223.44574,10032.0,935,156.375,333.4786,111207.984,178.71428,187.0,158.0,935,316,65535,0
2805756,0,0.0,0,0.0,0.0,0,0.0,0.0,112636270.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0
2385755,935,303.0,935,187.0,418.1447,303,101.0,174.93713,4285323.0,935,137.55556,315.38474,99467.53,154.75,187.0,101.0,935,303,237,0
1130448,1138,1581.0,677,113.8,209.61754,1173,225.85715,430.0986,4806806.0,1173,151.05556,304.98108,93013.47,159.94118,113.8,225.85715,1138,1581,8192,0
3319377,871,4919.0,469,145.16667,186.90149,1460,491.9,667.93835,90282.0,1460,340.58823,545.6662,297751.62,361.875,145.16667,491.9,871,4919,8192,0
2317737,935,313.0,935,187.0,418.1447,313,104.333336,180.71063,4065056.0,935,138.66667,316.05734,99892.25,156.0,187.0,104.333336,935,313,219,0
