,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,labels
14247,23,9,312,124,3,1.0,0.0,255,1.0,0.0,4
46947,12,9,45,132,50,1.0,0.0,208,0.82,0.02,4
70838,23,9,210,15014,9,1.0,0.0,255,1.0,0.0,4
77550,23,9,321,2734,19,1.0,0.0,255,1.0,0.0,4
122736,23,9,212,1847,11,1.0,0.0,255,1.0,0.0,4
12628,14,9,30,0,1,1.0,0.0,53,1.0,0.0,4
121124,14,9,30,0,2,1.0,0.0,213,1.0,0.0,4
49400,23,9,229,2701,3,1.0,0.0,255,1.0,0.0,4
1063,23,9,310,255,9,1.0,0.0,156,1.0,0.0,4
57981,23,9,152,10004,1,1.0,0.0,255,1.0,0.0,4
35910,23,9,169,10326,1,1.0,0.0,255,1.0,0.0,4
120016,12,9,42,42,6,1.0,0.0,244,0.96,0.01,4
14619,23,9,205,2486,17,1.0,0.0,255,1.0,0.0,4
47055,23,9,210,8571,3,1.0,0.0,255,1.0,0.0,4
32561,19,9,1429,4152,1,1.0,0.0,51,0.27,0.02,4
97476,23,1,0,0,1,1.0,0.0,225,1.0,0.0,4
59091,12,9,44,69,130,1.0,0.0,254,1.0,0.01,4
118413,23,9,317,1617,19,1.0,0.0,255,1.0,0.0,4
62847,23,9,207,751,8,1.0,0.0,255,1.0,0.0,4
38344,12,9,32,0,1,1.0,0.0,47,0.23,0.08,4
72758,47,9,105,147,2,1.0,0.0,216,0.85,0.01,4
33629,23,9,232,553,14,1.0,0.0,255,1.0,0.0,4
35073,23,9,311,304,15,1.0,0.0,255,1.0,0.0,4
123654,23,9,263,2039,20,1.0,0.0,255,1.0,0.0,4
64911,23,9,232,1261,1,1.0,0.0,255,1.0,0.0,4
0,20,9,491,0,2,1.0,0.0,25,0.17,0.03,4
56316,23,9,251,6706,6,1.0,0.0,255,1.0,0.0,4
47960,12,9,45,45,128,0.99,0.02,254,1.0,0.01,4
87253,51,9,891,327,2,0.5,1.0,193,0.61,0.08,4
66384,23,9,241,613,15,1.0,0.0,255,1.0,0.0,4
19151,23,9,225,1425,5,1.0,0.0,255,1.0,0.0,4
67396,23,9,332,771,13,1.0,0.0,255,1.0,0.0,4
14267,19,9,243,775,1,1.0,0.0,7,0.04,0.03,4
110449,51,9,1827,325,1,1.0,0.0,183,0.69,0.04,4
90175,12,9,43,126,147,1.0,0.0,212,0.83,0.01,4
8196,23,9,300,2239,3,1.0,0.0,250,0.98,0.01,4
114888,4,9,10,37,1,1.0,0.0,4,0.02,0.06,4
5077,23,9,296,5971,18,1.0,0.0,255,1.0,0.0,4
28698,20,9,8173,0,10,1.0,0.0,85,0.32,0.04,4
104458,23,9,232,12835,1,1.0,0.0,255,1.0,0.0,4
62555,23,9,159,230,2,1.0,0.0,255,1.0,0.0,4
123329,12,9,44,76,176,1.0,0.0,255,1.0,0.0,4
72870,51,9,1294,327,1,1.0,0.0,151,0.55,0.05,4
43746,23,9,330,3883,8,1.0,0.0,255,1.0,0.0,4
71878,23,9,265,468,16,1.0,0.0,255,1.0,0.0,4
118861,23,9,279,1347,3,1.0,0.0,255,1.0,0.0,4
70680,23,9,274,1233,15,1.0,0.0,255,1.0,0.0,4
50232,12,9,42,132,187,1.0,0.0,73,0.65,0.03,4
1053,23,9,236,357,18,1.0,0.0,255,1.0,0.0,4
37659,23,9,160,2954,1,1.0,0.0,255,1.0,0.0,4
2643,61,9,78,0,6,0.17,0.33,22,0.09,0.01,4
1761,23,9,204,1651,11,1.0,0.0,255,1.0,0.0,4
121072,23,9,237,763,14,1.0,0.0,255,1.0,0.0,4
24394,61,9,78,0,26,0.08,0.08,12,0.05,0.01,4
28427,23,9,230,1600,4,1.0,0.0,255,1.0,0.0,4
107557,23,9,218,329,1,1.0,0.0,255,1.0,0.0,4
62393,23,9,327,638,7,1.0,0.0,255,1.0,0.0,4
23762,12,9,44,44,137,1.0,0.0,166,0.65,0.01,4
64356,51,9,1858,484,1,1.0,0.0,8,0.03,0.01,4
103940,23,9,312,24572,2,1.0,0.0,255,1.0,0.0,4
25797,47,9,105,147,1,1.0,0.0,94,0.99,0.02,4
16573,23,9,220,4556,9,1.0,0.0,255,1.0,0.0,4
43158,51,9,2019,513,1,1.0,0.0,130,0.52,0.02,4
115845,45,9,150,9972,1,1.0,0.0,4,0.02,0.03,4
60627,23,9,288,588,6,1.0,0.0,255,1.0,0.0,4
67637,23,9,296,925,6,1.0,0.0,255,1.0,0.0,4
102079,23,9,214,492,4,1.0,0.0,255,1.0,0.0,4
83770,42,9,147,105,4,0.5,0.5,3,0.01,0.79,4
95290,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
43226,42,9,4316,0,12,0.08,0.92,1,0.01,0.11,4
17098,20,9,501760,0,2,1.0,0.0,78,0.27,0.07,4
85021,12,9,44,71,207,1.0,0.0,238,0.93,0.01,4
107809,23,9,289,910,18,1.0,0.0,255,1.0,0.0,4
94130,23,9,290,5759,2,1.0,0.0,103,1.0,0.0,4
88050,23,9,335,2140,4,1.0,0.0,255,1.0,0.0,4
26562,23,9,213,4555,11,1.0,0.0,255,1.0,0.0,4
38277,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
97017,51,9,1868,363,1,1.0,0.0,31,0.57,0.11,4
28737,12,9,44,84,186,1.0,0.0,254,1.0,0.01,4
113750,23,9,370,705,10,1.0,0.0,255,1.0,0.0,4
38475,57,6,93,2832,1,1.0,0.0,25,0.18,0.51,4
67482,12,9,44,128,76,1.0,0.0,182,0.78,0.01,4
103776,23,9,222,1039,1,1.0,0.0,255,1.0,0.0,4
86747,23,9,217,2073,39,1.0,0.0,255,1.0,0.0,4
80812,23,9,236,2133,32,1.0,0.0,255,1.0,0.0,4
89154,12,9,44,146,19,1.0,0.0,208,0.77,0.04,4
45966,23,9,216,10861,20,1.0,0.0,255,1.0,0.0,4
70956,23,9,257,10820,19,1.0,0.0,255,1.0,0.0,4
47273,23,9,217,292,14,1.0,0.0,255,1.0,0.0,4
123557,23,9,292,312,21,1.0,0.0,255,1.0,0.0,4
107613,23,1,0,0,1,1.0,0.0,253,1.0,0.0,4
23333,23,9,312,487,27,1.0,0.0,255,1.0,0.0,4
14663,23,9,156,11431,1,1.0,0.0,255,1.0,0.0,4
86836,51,9,1401,330,1,1.0,0.0,153,0.63,0.04,4
76352,23,9,279,1010,7,1.0,0.0,255,1.0,0.0,4
121651,12,9,92,39,1,1.0,0.0,29,1.0,0.0,4
101006,12,9,42,42,15,1.0,0.0,250,0.98,0.01,4
75812,23,9,217,1701,9,1.0,0.0,255,1.0,0.0,4
111569,23,9,344,294,5,1.0,0.0,255,1.0,0.0,4
65296,12,9,45,132,240,1.0,0.0,253,0.99,0.01,4
64688,23,9,205,5688,1,1.0,0.0,255,1.0,0.0,4
38720,23,9,421,667,24,1.0,0.0,255,1.0,0.0,4
86257,23,9,227,2576,9,1.0,0.0,255,1.0,0.0,4
19538,51,9,2511,332,1,1.0,0.0,96,0.51,0.08,4
9771,42,9,516,4,407,1.0,0.0,255,1.0,0.0,4
64274,51,9,1209,330,1,1.0,0.0,150,0.6,0.02,4
83774,23,9,249,142716,1,1.0,0.0,255,1.0,0.0,4
40593,12,9,45,46,54,1.0,0.0,227,0.89,0.01,4
42089,23,9,230,867,21,1.0,0.0,255,1.0,0.0,4
85127,12,9,44,133,101,1.0,0.0,255,1.0,0.0,4
27824,12,9,45,73,210,1.0,0.0,167,0.65,0.01,4
49946,23,9,258,1548,11,1.0,0.0,255,1.0,0.0,4
36500,12,9,46,80,144,0.99,0.01,254,1.0,0.01,4
52467,51,9,803,336,1,1.0,0.0,172,0.62,0.03,4
63703,23,9,289,455,3,1.0,0.0,255,1.0,0.0,4
109214,23,9,290,179,13,1.0,0.0,255,1.0,0.0,4
124114,20,9,567,0,2,0.5,1.0,44,0.35,0.07,4
88863,23,9,288,5669,9,1.0,0.0,255,1.0,0.0,4
13948,23,9,248,10403,6,1.0,0.0,255,1.0,0.0,4
114321,51,9,1545,334,2,1.0,0.0,186,0.89,0.02,4
124298,12,9,44,44,154,1.0,0.0,214,0.84,0.01,4
4211,23,9,316,3825,12,1.0,0.0,255,1.0,0.0,4
76689,12,9,44,77,276,1.0,0.0,206,0.81,0.01,4
48860,23,9,171,362,1,1.0,0.0,60,1.0,0.0,4
33420,23,1,0,0,1,1.0,0.0,66,1.0,0.0,4
48362,23,9,311,447,1,1.0,0.0,2,1.0,0.0,4
112965,23,9,234,4658,2,1.0,0.0,255,1.0,0.0,4
336,51,9,978,334,1,1.0,0.0,164,0.75,0.03,4
77741,23,9,315,1640,2,1.0,0.0,255,1.0,0.0,4
985,23,9,223,408,6,1.0,0.0,255,1.0,0.0,4
121240,51,9,1424,404,1,1.0,0.0,205,0.98,0.04,4
23736,51,9,1759,334,1,1.0,0.0,172,0.54,0.04,4
1869,42,9,146,0,1,1.0,0.0,1,0.0,0.22,4
