,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,attack
69669,24,1,0,0,1,1.0,0.0,223,1.0,0.0,4
76684,20,9,12286,0,9,1.0,0.0,27,0.23,0.03,4
14946,24,9,359,2282,4,1.0,0.0,255,1.0,0.0,4
83240,24,1,0,0,1,1.0,0.0,249,1.0,0.0,4
53655,20,9,2194619,0,2,1.0,0.0,121,0.58,0.02,4
118265,24,9,233,651,4,1.0,0.0,255,1.0,0.0,4
14493,24,9,229,1107,6,1.0,0.0,255,1.0,0.0,4
125815,12,9,44,79,248,1.0,0.01,255,1.0,0.0,4
97020,24,9,221,281,13,1.0,0.0,255,1.0,0.0,4
17165,24,1,0,0,1,1.0,0.0,224,1.0,0.0,4
71757,24,9,315,3091,3,1.0,0.0,255,1.0,0.0,4
32194,24,9,221,1645,8,1.0,0.0,255,1.0,0.0,4
34996,24,1,0,0,1,1.0,0.0,146,0.87,0.02,4
117315,49,9,105,146,2,0.5,1.0,241,0.95,0.01,4
40854,54,9,1124,334,1,1.0,0.0,145,0.77,0.04,4
16120,24,9,253,3030,5,1.0,0.0,255,1.0,0.0,4
37760,24,9,325,870,12,1.0,0.0,255,1.0,0.0,4
121237,24,9,223,1966,10,1.0,0.0,255,1.0,0.0,4
4218,24,9,222,10707,3,1.0,0.0,255,1.0,0.0,4
35203,24,9,350,280,9,1.0,0.0,255,1.0,0.0,4
98884,0,9,86,128,2,1.0,0.0,6,0.5,0.17,4
79989,24,9,321,1353,7,1.0,0.0,255,1.0,0.0,4
69689,24,9,328,1569,30,1.0,0.0,255,1.0,0.0,4
23463,24,9,342,386,2,1.0,0.0,255,1.0,0.0,4
26042,12,9,46,135,78,1.0,0.0,254,1.0,0.01,4
7334,24,7,303,1381,1,1.0,0.0,248,0.97,0.01,4
50612,12,9,33,89,2,1.0,0.0,255,1.0,0.0,4
20531,12,9,44,110,50,1.0,0.0,254,1.0,0.01,4
30651,24,9,189,12948,16,1.0,0.0,255,1.0,0.0,4
112423,24,9,240,1928,9,1.0,0.0,255,1.0,0.0,4
111170,12,9,43,69,269,1.0,0.0,239,0.94,0.01,4
72259,24,9,225,5238,4,1.0,0.0,255,1.0,0.0,4
32394,24,1,0,0,1,1.0,0.0,59,1.0,0.0,4
9656,24,9,221,656,11,1.0,0.0,255,1.0,0.0,4
59611,24,9,200,2653,2,1.0,0.0,255,1.0,0.0,4
122039,54,9,1214,287,1,1.0,0.0,166,0.83,0.06,4
2990,24,9,313,5215,5,1.0,0.0,255,1.0,0.0,4
112947,24,9,189,4922,4,1.0,0.0,255,1.0,0.0,4
35249,12,9,44,115,1,1.0,0.0,236,0.93,0.01,4
8740,54,5,0,0,2,1.0,0.0,136,0.57,0.03,4
37759,44,9,146,105,1,1.0,0.0,3,0.01,0.54,4
24727,24,9,207,2429,2,1.0,0.0,255,1.0,0.0,4
2921,24,9,286,310,6,1.0,0.0,255,1.0,0.0,4
39003,20,9,1214,0,15,1.0,0.0,21,1.0,0.0,4
35062,60,6,199,1341,1,1.0,0.0,8,0.09,0.06,4
23411,24,9,224,3012,2,1.0,0.0,255,1.0,0.0,4
30279,20,9,245,0,2,1.0,0.0,2,0.18,0.27,4
32338,44,9,147,0,3,0.33,0.67,1,0.0,0.6,4
2706,12,9,44,118,236,1.0,0.0,193,0.76,0.01,4
69534,24,9,221,1600,9,1.0,0.0,255,1.0,0.0,4
95448,20,9,4014,0,2,0.5,1.0,92,0.36,0.04,4
19372,12,9,17,73,1,1.0,0.0,234,0.92,0.01,4
106630,24,9,320,370,7,1.0,0.0,255,1.0,0.0,4
44201,20,9,12,0,2,1.0,0.0,77,0.3,0.02,4
9269,12,9,46,117,1,1.0,0.0,15,0.94,0.12,4
6389,54,9,1267,335,1,1.0,0.0,170,0.95,0.04,4
52343,54,9,932,333,1,1.0,0.0,9,0.04,0.59,4
